generation,best,average,worst
0,-187626.0,-1619343.915,-4437270.0
1,-100165.0,-876590.09,-2725694.0
2,-111323.0,-704760.85,-2044265.0
3,-119431.0,-606759.765,-1900917.0
4,-122540.0,-592313.495,-1757064.0
5,-44828.0,-594730.335,-1871209.0
6,-23627.0,-490265.535,-1877213.0
7,-29708.0,-419050.15,-1527422.0
8,-36398.0,-423094.725,-1502355.0
9,-29787.0,-445863.99,-1356118.0
10,-36313.0,-458221.38,-1491336.0
11,-30731.0,-433961.915,-1620283.0
12,-15736.0,-446058.91,-1417211.0
13,-14186.0,-467798.84,-1330415.0
14,7227.0,-453361.47,-1553314.0
15,35060.0,-391383.825,-1617826.0
16,18099.0,-375779.8,-1578760.0
17,34576.0,-405652.72,-1457116.0
18,15387.0,-392306.665,-1493043.0
19,21894.999999999996,-346070.37,-1005034.0
20,51376.0,-344980.46,-1216055.0
21,50953.0,-349823.36,-1305263.0
22,48729.0,-305605.205,-1349759.0
23,73362.0,-293298.06,-1178100.0
24,88263.0,-288796.105,-1248570.0
25,64497.0,-329476.93,-1189120.0
26,91676.0,-296556.315,-1328039.0
27,74234.0,-315653.32,-1270010.0
28,75621.0,-292308.265,-1188296.0
29,68415.0,-295712.005,-1198854.0
30,75134.0,-318077.465,-1415993.0
31,79376.0,-299098.835,-1251551.0
32,88653.0,-368660.735,-1719213.0
33,96381.0,-320126.77,-1418595.0
34,101453.0,-282731.325,-1163515.0
35,90227.0,-295001.11,-1359377.0
36,86826.0,-265285.85,-1122273.0
37,86449.0,-291483.18,-1175661.0
38,103586.0,-284170.55,-1126991.0
39,100933.0,-297760.495,-998960.0
40,96876.0,-289736.285,-1533030.0
41,79628.0,-292643.25,-1166022.0
42,102127.0,-275099.255,-1219187.0
43,107471.0,-276521.525,-1708245.0
44,97082.0,-227094.325,-1150005.0
45,131339.0,-251597.135,-1202146.0
46,144418.0,-220968.78,-853919.0
47,134141.0,-231825.145,-1689205.0
48,134914.0,-251278.815,-1199866.0
49,116511.0,-227993.42,-1091526.0
50,128867.0,-203265.765,-937029.0
51,110621.0,-227996.955,-974685.0
52,101138.0,-239145.87,-938231.0
53,128281.0,-181787.175,-1040057.0
54,132138.0,-255557.64,-1134962.0
55,131245.0,-246824.79,-1288010.0
56,123947.0,-267799.2,-1244600.0
57,134278.0,-216201.04,-992905.0
58,142771.0,-217504.52,-945522.0
59,135617.0,-214989.48,-1362720.0
60,139966.0,-188512.75,-1229099.0
61,132450.0,-240075.66,-1212473.0
62,129611.0,-212309.16,-930738.0
63,141324.0,-232063.575,-1247172.0
64,119393.0,-240287.07,-1304383.0
65,126529.0,-231119.105,-974071.0
66,116209.0,-213078.93,-1613104.0
67,110327.0,-246164.23,-1303626.0
68,109350.0,-213089.67,-1019729.0
69,111133.0,-243456.27,-1045525.0
70,105525.0,-220966.91,-1067581.0
71,127702.0,-263960.935,-1327229.0
72,94724.0,-291522.305,-1093609.0
73,135055.0,-252797.54,-1020723.0
74,124169.0,-255703.425,-1398236.0
75,119314.0,-259862.8,-1667198.0
76,111612.0,-318398.655,-1343840.0
77,101645.0,-274069.49,-1344877.0
78,136607.0,-234909.65,-1325186.0
79,135137.0,-243352.235,-1074119.0
80,149686.0,-228931.675,-1192213.0
81,135941.0,-252519.05,-849557.0
82,106417.0,-271409.115,-1353457.0
83,138325.0,-276298.84,-1147756.0
84,127085.0,-235759.26,-1617355.0
85,124155.0,-209795.68,-1210235.0
86,142448.0,-235270.495,-1402666.0
87,139062.0,-160863.175,-1067572.0
88,154601.0,-168081.305,-843511.0
89,148863.0,-209971.115,-1318980.0
90,124126.0,-205597.105,-984250.0
91,156934.0,-162538.8,-1059013.0
92,143040.0,-167923.28,-984266.0
93,159467.0,-145744.055,-736028.0
94,153324.0,-174536.81,-1137403.0
95,152965.0,-208457.77,-1183858.0
96,164254.0,-205403.775,-1366719.0
97,162210.0,-166444.675,-1026420.0
98,162210.0,-185456.59,-1077666.0
99,166293.0,-166732.08,-869891.0
100,156922.0,-126677.35,-1103633.0
101,156844.0,-126487.14,-832944.0
102,170253.0,-114496.75,-820741.0
103,153001.0,-126338.545,-708853.0
104,166097.0,-140605.375,-812136.0
105,172644.0,-113924.335,-765635.0
106,175305.0,-73702.03,-666015.0
107,167981.0,-77960.825,-1019841.0
108,176264.0,-99985.695,-928352.0
109,170073.0,-109339.79,-849581.0
110,174684.0,-100466.905,-709125.0
111,191067.0,-113108.59,-965427.0
112,191067.0,-120405.065,-811821.0
113,190689.0,-108054.19,-946527.0
114,172122.0,-102759.645,-954605.0
115,172122.0,-119977.29,-963665.0
116,184153.0,-128599.53,-894456.0
117,184153.0,-122411.425,-808536.0
118,185916.0,-115303.45,-833258.0
119,182936.0,-101817.245,-995346.0
120,189205.0,-89523.13,-830819.0
121,202577.0,-115902.635,-1021848.0
122,211543.0,-82848.355,-893601.0
123,193476.0,-108472.985,-878632.0
124,191078.0,-120930.335,-1007178.0
125,185577.0,-116045.035,-710481.0
126,186253.0,-112149.91,-828788.0
127,197230.0,-114829.01,-982319.0
128,211082.0,-124706.33,-891920.0
129,197475.0,-84926.615,-657822.0
130,197475.0,-116764.77,-761686.0
131,190642.0,-122276.25,-942832.0
132,200493.0,-160727.565,-991919.0
133,194184.0,-153129.1,-917402.0
134,199042.0,-159450.98,-1383393.0
135,201004.0,-136936.905,-983349.0
136,194473.0,-110283.775,-1048616.0
137,186563.0,-114212.405,-892542.0
138,194499.0,-134251.58,-1078819.0
139,194499.0,-154453.975,-913179.0
140,192617.0,-151711.015,-898231.0
141,193476.0,-122904.08,-850792.0
142,182425.0,-133037.125,-1172331.0
143,195069.0,-109555.31,-1059077.0
144,187249.0,-82388.66,-1058763.0
145,198480.0,-50954.125,-929367.0
146,210675.0,-47176.415,-860242.0
147,218671.0,-67470.585,-569506.0
148,218671.0,-107259.415,-880987.0
149,186537.0,-75935.06,-844467.0
150,204191.0,-116093.165,-1198050.0
151,212009.0,-107225.615,-736553.0
152,213341.0,-75579.495,-1262792.0
153,212402.0,-92366.015,-893472.0
154,219286.0,-42747.68,-643331.0
155,218186.0,-46219.765,-772452.0
156,213838.0,-39103.095,-750650.0
157,217605.0,-35567.88,-1101713.0
158,214168.0,-59011.805,-1044872.0
159,214755.0,-42112.79,-658968.0
160,222646.0,-22214.995,-860654.0
161,222646.0,-63397.335,-632260.0
162,220191.0,-18808.735,-669894.0
163,222916.0,-34291.455,-539675.0
164,227698.0,-48632.63,-826146.0
165,222886.0,-5921.105,-841552.0
166,243041.0,-19765.63,-529134.0
167,225564.0,-35371.88,-736621.0
168,225821.0,-24882.43,-639925.0
169,229537.0,-21602.935,-632022.0
170,226514.0,-29263.945,-914484.0
171,233285.0,-14248.3,-508288.0
172,238414.0,-19956.47,-695145.0
173,234785.0,-18735.305,-627087.0
174,231212.0,-56477.5,-998998.0
175,230038.0,-23524.385,-709392.0
176,230038.0,-32965.875,-999552.0
177,230038.0,-28476.935,-644328.0
178,231391.0,48340.53,-396789.0
179,231391.0,49040.285,-562473.0
180,231391.0,36045.135,-645113.0
181,232951.0,49309.03,-511681.0
182,234304.0,41713.215,-439006.0
183,243482.0,43304.99,-513300.0
184,243482.0,40929.825,-723458.0
185,243482.0,17640.77,-518023.0
186,245229.0,28989.865,-606818.0
187,247525.0,17946.92,-419393.0
188,247525.0,38842.81,-706578.0
189,251299.0,18982.105,-606934.0
190,249327.0,6076.75,-608013.0
191,251911.0,38193.59,-415540.0
192,247281.0,42884.255,-420546.0
193,247281.0,24279.01,-597380.0
194,247281.0,29278.475,-493272.0
195,248176.0,33741.905,-511711.0
196,250652.0,8624.0,-608529.0
197,245242.0,14149.695,-759220.0
198,245242.0,19251.795,-544769.0
199,250652.0,3290.76,-722494.0
200,246166.0,-11484.145,-828075.0
201,252948.0,35210.74,-518829.0
202,252948.0,21971.05,-940258.0
203,253814.0,33036.85,-729683.0
204,253814.0,30889.875,-398474.0
205,252948.0,33297.025,-615685.0
206,252948.0,15558.46,-596150.0
207,252948.0,39251.23,-503146.0
208,252948.0,32455.235,-610629.0
209,255039.0,20170.765,-700010.0
210,255039.0,29345.325,-593081.0
211,256278.0,21755.865,-439613.0
212,256278.0,32140.56,-481853.0
213,256278.0,27494.04,-741381.0
214,258025.0,49919.6,-516158.0
