,generation,best,average,worst
0,0,-329964.0,-1773249.78,-3952955.0
1,1,-247851.0,-1091076.045,-2699102.0
2,2,-230974.0,-936772.04,-2119226.0
3,3,-59641.0,-793557.615,-1932441.0
4,4,-118362.0,-792331.44,-2056849.0
5,5,-137485.0,-743018.69,-2269687.0
6,6,-85828.0,-667738.19,-1684507.0
7,7,-144969.0,-709109.565,-2283353.0
8,8,-74792.0,-691530.15,-2101027.0
9,9,-67712.0,-696636.35,-2152524.0
10,10,-51783.0,-673766.52,-1853385.0
11,11,-93964.0,-693891.045,-1925060.0
12,12,-68337.0,-696843.995,-2050540.0
13,13,-37924.0,-658415.17,-1989898.0
14,14,-76413.0,-654654.805,-2066446.0
15,15,30193.000000000004,-661453.46,-2214979.0
16,16,-41672.0,-691831.72,-2148835.0
17,17,-50785.0,-649270.16,-2328589.0
18,18,-35568.0,-660710.545,-1734791.0
19,19,-29594.0,-614899.45,-2151281.0
20,20,-68224.0,-649794.17,-1798371.0
21,21,-20619.0,-637780.815,-2020551.0
22,22,-57047.0,-635000.24,-1595959.0
23,23,-93630.0,-618781.42,-1882703.0
24,24,-41869.0,-609729.375,-2003514.0
25,25,-40532.0,-602033.875,-1838588.0
26,26,-1059.0,-601164.82,-2491350.0
27,27,-38854.0,-611617.485,-2104341.0
28,28,-46319.0,-672287.955,-2382795.0
29,29,-56371.0,-637398.69,-2460098.0
30,30,-2588.0,-640236.205,-2160621.0
31,31,16678.0,-577662.92,-1838371.0
32,32,17708.0,-620392.085,-2125350.0
33,33,-21785.0,-619506.615,-1707311.0
34,34,-55991.0,-588304.13,-1565767.0
35,35,-22630.0,-616782.635,-1752923.0
36,36,746.0,-558318.93,-1966471.0
37,37,-37625.0,-560471.07,-1733322.0
38,38,-25192.0,-600822.025,-2133365.0
39,39,-20799.0,-659020.05,-2379715.0
40,40,-48186.0,-605244.005,-2013096.0
41,41,9876.0,-628611.385,-2269473.0
42,42,-43398.0,-634863.115,-1639692.0
43,43,-45900.0,-662061.67,-2066121.0
44,44,-21668.0,-634040.54,-1906810.0
45,45,-45590.0,-630747.9,-2235305.0
46,46,-42408.0,-603342.16,-1706971.0
47,47,-85782.0,-654905.985,-2022375.0
48,48,-31653.0,-596213.295,-2024433.0
49,49,-65765.0,-578568.265,-1980243.0
50,50,-32106.0,-580835.865,-2017831.0
51,51,-31368.0,-609116.14,-2289225.0
52,52,-39499.0,-636909.99,-1993916.0
53,53,-41426.0,-605416.665,-1896603.0
54,54,-30942.0,-637202.255,-2045346.0
55,55,-67819.0,-619268.77,-2046555.0
56,56,-45893.0,-592649.585,-2250042.0
57,57,-63019.0,-578237.285,-1756538.0
58,58,-56763.0,-610339.85,-1929829.0
59,59,-39746.0,-559704.765,-1442244.0
60,60,-238.0,-552604.75,-1713108.0
61,61,-4176.0,-503716.87,-2380280.0
62,62,36723.0,-496689.785,-2061716.0
63,63,-44629.0,-499721.755,-1695619.0
64,64,38123.0,-483066.05,-2438509.0
65,65,52743.0,-521527.12,-1684616.0
66,66,1121.9999999999964,-496639.385,-1786595.0
67,67,6919.0,-485842.83,-1443093.0
68,68,-11352.0,-555940.24,-2096222.0
69,69,-17176.0,-517463.04,-1540760.0
70,70,24277.0,-516779.385,-1801576.0
71,71,-24003.0,-498203.975,-1964753.0
72,72,9564.0,-480041.065,-1764980.0
73,73,32606.0,-514153.435,-1628812.0
74,74,1371.0,-547399.415,-1878226.0
75,75,21966.0,-476247.305,-1594670.0
76,76,20307.000000000004,-462354.145,-2207331.0
77,77,-4936.0,-479882.88,-1853418.0
78,78,26440.0,-430465.515,-1728467.0
79,79,51164.0,-494705.925,-1543905.0
80,80,46576.0,-491713.44,-1571292.0
81,81,40152.0,-382835.63,-1572267.0
82,82,40282.0,-460465.855,-1613308.0
83,83,42457.0,-405988.82,-1683179.0
84,84,37828.0,-418283.42,-1425956.0
85,85,32193.0,-394667.855,-2079134.0
86,86,56653.0,-430637.23,-1492743.0
87,87,20152.0,-395276.615,-1892934.0
88,88,20850.0,-416966.11,-1756721.0
89,89,62486.0,-394937.015,-1287122.0
90,90,22171.0,-405815.775,-1341297.0
91,91,-4685.0,-402682.07,-1531946.0
