generation,best,average,worst
0,-345811.0,-2016579.946,-4664286.0
1,0.0,-1484281.164,-3422686.0
2,0.0,-1182136.752,-2956508.0
3,-13776.0,-1010483.566,-2997929.0
4,0.0,-901023.528,-2329237.0
5,-19483.0,-800248.374,-2307334.0
6,0.0,-744119.908,-2372756.0
7,0.0,-659589.008,-2043459.0
8,0.0,-655276.194,-2373804.0
9,0.0,-570969.246,-2270645.0
10,0.0,-514296.248,-2422727.0
11,0.0,-462730.928,-1934417.0
12,10941.0,-431082.824,-1661573.0
13,10941.0,-386363.884,-2018516.0
14,10941.0,-354321.792,-1764971.0
15,10941.0,-338791.03,-1574800.0
16,43874.0,-288191.996,-1457644.0
17,43874.0,-296075.078,-1939993.0
18,28604.0,-256890.61,-1237459.0
19,31850.0,-225282.888,-1221040.0
20,34284.0,-200619.09,-1311549.0
21,69023.0,-190536.226,-1170156.0
22,67685.0,-176231.504,-1568575.0
23,67685.0,-175138.498,-1292606.0
24,81767.0,-166898.726,-941846.0
25,80005.0,-150106.276,-1529756.0
26,78169.0,-143330.168,-1028315.0
27,84025.0,-137112.652,-1476854.0
28,112665.0,-134275.122,-1220216.0
29,112665.0,-130292.67,-1306812.0
30,111919.0,-113308.326,-1206202.0
31,100558.0,-112617.186,-1077791.0
32,106996.0,-110004.09,-1487320.0
33,114118.0,-118861.354,-1023578.0
34,114118.0,-108433.536,-917012.0
35,114118.0,-102961.628,-877901.0
36,125953.0,-105336.878,-1086935.0
37,125953.0,-101424.006,-898301.0
38,125953.0,-96329.826,-1464307.0
39,125953.0,-103576.372,-1141060.0
40,121632.0,-90832.066,-1206481.0
41,121632.0,-69391.622,-1102302.0
42,120961.0,-84665.468,-844290.0
43,132065.0,-87673.72,-1006624.0
44,132367.0,-67289.456,-965019.0
45,136265.0,-75245.648,-953496.0
46,136265.0,-81526.808,-1105082.0
47,136265.0,-68536.346,-1259642.0
48,136265.0,-70391.728,-988549.0
49,136780.0,-65599.35,-980681.0
50,136780.0,-71952.234,-1238606.0
51,165303.0,-61985.332,-1094919.0
52,165303.0,-59582.322,-1028813.0
53,165303.0,-57175.418,-944956.0
54,146140.0,-46906.306,-1110276.0
55,146140.0,-50830.792,-1081587.0
56,156983.0,-36112.488,-984722.0
57,156983.0,-40663.564,-1005348.0
58,152482.0,-40768.136,-1109138.0
59,163193.0,-38191.154,-1094322.0
60,163193.0,-48943.04,-1064761.0
61,163193.0,-33526.272,-863849.0
62,173764.0,-32686.94,-1154692.0
63,188656.0,-20747.762,-885857.0
64,188656.0,-25935.09,-1006447.0
65,188656.0,-19632.914,-889672.0
66,188656.0,-31517.37,-924442.0
67,188656.0,-32846.61,-1051768.0
68,188656.0,-24695.926,-901782.0
69,188656.0,-15229.7,-833526.0
70,188656.0,-19819.982,-1126597.0
71,188656.0,-25045.42,-964186.0
72,188656.0,-25600.492,-1270644.0
73,181821.0,-12594.56,-1003572.0
74,167133.0,-17265.564,-1072359.0
75,175592.0,-2289.162,-720207.0
76,175592.0,-6447.244,-1005780.0
77,178305.0,-8742.106,-1022087.0
78,187844.0,9409.226,-742375.0
79,192754.0,-1848.224,-872063.0
80,192754.0,5417.154,-940219.0
81,192754.0,2302.702,-968620.0
82,192754.0,-4058.47,-878500.0
83,192754.0,2989.892,-742478.0
84,192754.0,15445.518,-867454.0
85,192754.0,-295.364,-863924.0
86,199072.0,8652.936,-1069864.0
87,199072.0,-7521.234,-795055.0
88,199072.0,2128.548,-894054.0
89,199072.0,15911.368,-799997.0
90,199072.0,14252.44,-917178.0
91,199072.0,11596.14,-1027933.0
92,199072.0,20523.484,-678246.0
93,199072.0,7574.332,-776007.0
94,199072.0,18043.064,-867016.0
95,199072.0,20845.202,-767235.0
96,207100.0,12888.41,-1084422.0
97,207100.0,7057.626,-905987.0
98,207100.0,13536.754,-998566.0
99,217258.0,11116.78,-792537.0
100,203071.0,25817.31,-950591.0
101,203071.0,25339.676,-737168.0
102,231221.0,21771.242,-903644.0
103,231221.0,12252.954,-946958.0
104,231221.0,13484.526,-718231.0
105,231221.0,9857.672,-867859.0
106,231221.0,10561.6,-733608.0
107,231221.0,12830.514,-806432.0
108,231221.0,21198.946,-1070308.0
109,231221.0,19131.14,-919373.0
110,231221.0,31383.268,-785815.0
111,231221.0,29713.812,-809333.0
112,230300.0,31660.92,-846536.0
113,230300.0,37842.034,-686959.0
114,215046.0,31304.97,-714996.0
115,215784.0,43921.144,-773632.0
116,215046.0,36988.122,-750749.0
117,215046.0,49198.436,-781504.0
118,215046.0,41580.1,-909649.0
119,219425.0,30964.534,-793038.0
120,221902.0,48540.372,-830104.0
121,221902.0,54069.828,-598835.0
122,219425.0,42755.686,-1096420.0
123,222277.0,53157.394,-674587.0
124,222277.0,35539.684,-676639.0
125,220617.0,49365.578,-684832.0
126,227681.0,51450.744,-573668.0
127,237724.0,59401.224,-848364.0
128,244634.0,50839.654,-1001574.0
129,244634.0,50646.046,-742023.0
130,248062.0,58375.762,-754047.0
131,248062.0,61168.9,-677769.0
132,248062.0,68201.83,-607793.0
133,248062.0,47653.64,-755819.0
134,248062.0,53968.556,-714983.0
135,248062.0,67398.98,-770112.0
136,242440.0,49569.698,-623686.0
137,242440.0,61425.852,-798040.0
138,242440.0,69689.78,-715170.0
139,242440.0,55910.316,-764122.0
140,242440.0,66607.448,-963695.0
141,244687.0,76365.46,-748334.0
142,252105.0,77336.124,-630469.0
143,252105.0,65232.538,-691304.0
144,252105.0,56775.624,-685242.0
145,252105.0,72091.058,-735822.0
146,252105.0,72510.092,-625023.0
147,244030.0,75759.744,-727621.0
148,251903.0,64537.878,-751227.0
149,246313.0,72378.428,-1004906.0
150,246313.0,75509.564,-631671.0
151,259735.0,72944.652,-881779.0
152,259735.0,76330.824,-743934.0
153,246313.0,78685.49,-732414.0
154,246313.0,74419.132,-649119.0
155,246313.0,89688.794,-664906.0
156,246533.0,88140.518,-811096.0
157,249873.0,87509.706,-898612.0
158,252660.0,92775.212,-537990.0
159,257552.0,91408.742,-675028.0
160,257552.0,93127.456,-884377.0
161,259880.0,105249.764,-518717.0
162,252555.0,88550.726,-777567.0
163,251601.0,104322.366,-732561.0
164,252904.0,97188.638,-690491.0
165,255966.0,89977.17,-667925.0
166,255966.0,93946.47,-765316.0
167,255966.0,91461.22,-710406.0
168,255966.0,87424.434,-746596.0
169,255476.0,89566.996,-788472.0
170,258139.0,112803.256,-581459.0
171,265234.0,98657.21,-587137.0
172,265234.0,97302.986,-833810.0
173,265234.0,95883.136,-667833.0
174,265234.0,99486.4,-742069.0
175,263593.0,90200.634,-700617.0
176,263581.0,94809.424,-904342.0
177,261949.0,102663.856,-599806.0
178,268854.0,95482.18,-615324.0
179,268854.0,101758.562,-684420.0
180,268854.0,107929.718,-850864.0
181,268854.0,107189.206,-574298.0
182,268854.0,105928.008,-598760.0
183,268854.0,113714.404,-551052.0
184,268854.0,100064.67,-807068.0
185,268854.0,117964.192,-605047.0
186,268854.0,114540.442,-548150.0
187,260706.0,117154.964,-521013.0
188,268213.0,118900.598,-904340.0
189,268213.0,112941.506,-907355.0
190,268213.0,114492.416,-684545.0
191,263440.0,121669.338,-485899.0
192,263395.0,116762.46,-625804.0
193,263395.0,115156.296,-493738.0
194,263677.0,117741.564,-579517.0
195,263395.0,115238.046,-591106.0
196,279602.0,120091.004,-613874.0
197,279602.0,119254.798,-710137.0
198,279602.0,125060.674,-484579.0
199,279602.0,121514.698,-557455.0
200,267818.0,123438.05,-718441.0
201,272610.0,124313.56,-516644.0
202,272610.0,112075.85,-594319.0
203,272610.0,117073.218,-717614.0
204,272610.0,123662.908,-514604.0
205,272610.0,126672.886,-499658.0
206,272610.0,116169.478,-705781.0
207,272610.0,118421.678,-757898.0
208,272610.0,118339.082,-813133.0
209,271973.0,127205.24,-576318.0
210,271973.0,122672.322,-488716.0
211,273098.0,127068.8,-500363.0
212,281241.0,125136.204,-813040.0
213,281241.0,125586.908,-560305.0
214,281241.0,128758.058,-551628.0
215,281241.0,126908.728,-514008.0
216,281241.0,130702.794,-579583.0
217,281241.0,121204.222,-742748.0
218,282340.0,122712.678,-771346.0
219,281241.0,128564.968,-543027.0
220,281241.0,127323.576,-761889.0
221,283333.0,132726.236,-598980.0
222,283333.0,123679.204,-591410.0
223,283333.0,129851.536,-580802.0
224,283333.0,125779.834,-609887.0
225,283333.0,131003.336,-493671.0
226,283333.0,126931.028,-515716.0
227,283333.0,123444.722,-489153.0
228,283333.0,127576.176,-504122.0
229,283333.0,128171.332,-738084.0
230,283333.0,129935.444,-561480.0
231,283333.0,126133.826,-599158.0
232,276384.0,139864.648,-375838.0
233,276384.0,118555.286,-724882.0
234,281266.0,126640.038,-508999.0
235,281266.0,131629.384,-667437.0
236,281266.0,133873.578,-593391.0
237,284750.0,132065.1,-690146.0
238,284750.0,128453.522,-655500.0
239,284750.0,134894.62,-352322.0
240,284750.0,127017.774,-689868.0
241,284750.0,136373.036,-692221.0
242,284750.0,147287.436,-479050.0
243,272130.0,133678.798,-521702.0
244,274858.0,129775.272,-647198.0
245,277429.0,135517.508,-508078.0
246,277429.0,139827.096,-588070.0
247,282204.0,142480.348,-478462.0
248,282917.0,147432.028,-480559.0
249,282917.0,134689.932,-493916.0
250,282917.0,142759.866,-482566.0
251,282917.0,140192.496,-505937.0
252,282917.0,140565.386,-394254.0
253,282917.0,137176.932,-588764.0
254,282917.0,145841.51,-581612.0
255,282917.0,144588.044,-613028.0
256,282917.0,142176.376,-603437.0
257,282917.0,143914.012,-586643.0
258,282917.0,151874.776,-394561.0
259,281140.0,133920.376,-594030.0
260,291275.0,136019.004,-575915.0
261,291275.0,140892.03,-772044.0
262,291275.0,138712.126,-629779.0
263,291275.0,150824.416,-476875.0
264,291275.0,146568.656,-484262.0
265,291275.0,154087.48,-501100.0
266,291275.0,132138.942,-559902.0
267,292052.0,142056.242,-626694.0
268,292052.0,142767.8,-530774.0
269,292052.0,151020.026,-490762.0
270,291275.0,140733.586,-682902.0
271,295514.0,143118.064,-577995.0
272,295514.0,134570.328,-689887.0
273,295514.0,141130.934,-440120.0
274,295514.0,142165.974,-471037.0
275,295514.0,136538.328,-793904.0
276,295514.0,143948.758,-466412.0
277,295514.0,152362.126,-491038.0
278,295514.0,149939.086,-476296.0
279,295514.0,145944.506,-490401.0
280,295514.0,159897.014,-462685.0
281,295514.0,149439.646,-476544.0
282,295514.0,149141.892,-730934.0
283,295514.0,154049.238,-477421.0
284,292947.0,155306.196,-486486.0
285,292947.0,151670.026,-714296.0
286,292947.0,153978.248,-670104.0
287,296107.0,158091.082,-482936.0
288,292947.0,149127.344,-396349.0
289,292947.0,154270.918,-408940.0
290,291988.0,155218.854,-476397.0
291,291988.0,144605.488,-498344.0
292,291075.0,152241.338,-461900.0
293,293758.0,156733.296,-465752.0
294,293758.0,162494.994,-377390.0
295,293758.0,165274.066,-565359.0
296,293758.0,159339.442,-821299.0
297,293758.0,145204.428,-495658.0
298,293758.0,153316.038,-474904.0
299,293758.0,154815.606,-363336.0
300,293758.0,160160.336,-415199.0
301,293758.0,154967.812,-468397.0
302,293758.0,156742.97,-575418.0
303,295649.0,155250.096,-495822.0
304,295649.0,164095.098,-470935.0
305,293758.0,164894.166,-563438.0
306,293758.0,160482.1,-377568.0
307,294665.0,155601.122,-559684.0
308,294665.0,164998.834,-531520.0
309,297835.0,164333.49,-571418.0
310,297835.0,170779.232,-452451.0
311,297835.0,169449.932,-461582.0
312,297835.0,176971.696,-409415.0
313,297835.0,166894.816,-371865.0
314,297835.0,166673.158,-347062.0
315,298325.0,172962.416,-457446.0
316,298325.0,161360.076,-468835.0
317,298325.0,161851.424,-547319.0
318,298325.0,160646.236,-655793.0
319,298325.0,167641.712,-376196.0
320,298325.0,171677.346,-471257.0
321,298325.0,165820.702,-479814.0
322,293509.0,178532.8,-295007.0
323,298383.0,182081.536,-372943.0
324,298383.0,172830.438,-453424.0
325,298383.0,184361.714,-350035.0
326,298383.0,174885.546,-441550.0
327,298383.0,175603.564,-362899.0
328,298383.0,190228.48,-520708.0
329,298383.0,174426.414,-476535.0
330,299808.0,168224.04,-457810.0
331,299808.0,175179.998,-484289.0
332,299808.0,179949.608,-471287.0
333,299808.0,180677.504,-548806.0
334,299808.0,182308.364,-456338.0
335,299808.0,178570.106,-551118.0
336,301143.0,182741.788,-355393.0
337,299808.0,181069.706,-399411.0
338,298238.0,184246.988,-256592.0
339,298238.0,182222.366,-471208.0
340,299730.0,185574.822,-356109.0
341,297506.0,186303.302,-266422.0
342,296507.0,179056.616,-399773.0
343,297254.0,183772.448,-357454.0
344,297254.0,193256.93,-468083.0
345,298930.0,186081.062,-446496.0
346,298930.0,190995.478,-536012.0
347,298783.0,187606.062,-475798.0
348,299297.0,193932.082,-366087.0
349,299297.0,195505.556,-375043.0
350,299297.0,202118.792,-353039.0
351,299297.0,202720.136,-329429.0
352,302790.0,199447.428,-245559.0
353,302790.0,201280.794,-248525.0
354,303207.0,200206.124,-273034.0
355,304341.0,201438.768,-344325.0
356,304341.0,204224.054,-264472.0
357,304341.0,211689.824,-257717.0
358,304341.0,208465.158,-247586.0
359,304341.0,204890.752,-438108.0
360,304341.0,211632.802,-254548.0
361,303265.0,215309.772,-243324.0
362,304707.0,211799.876,-235667.0
363,302790.0,203644.188,-264623.0
364,310393.0,217451.536,-258564.0
365,311214.0,205088.962,-265120.0
366,311214.0,215045.8,-238489.0
367,303971.0,223384.054,-257293.0
368,307353.0,222241.924,-564906.0
369,307353.0,221784.524,-247596.0
370,307353.0,219506.288,-255621.0
371,307353.0,228799.306,-359654.0
372,307353.0,216939.106,-360710.0
373,311205.0,227270.548,-359729.0
374,307562.0,228571.726,-231403.0
375,307562.0,231925.756,-140953.0
376,312249.0,227590.914,-235393.0
377,307562.0,224634.188,-254996.0
378,307353.0,235007.59,-148766.0
379,308186.0,229102.224,-170551.0
380,308186.0,236994.692,-44919.0
381,308186.0,237163.712,-251122.0
382,308186.0,241079.52,-256205.0
383,308186.0,237136.75,-157980.0
384,312197.0,244177.192,-366633.0
385,312197.0,242569.672,-239823.0
386,312197.0,249909.25,-154664.0
387,312197.0,261590.302,-111613.0
388,312197.0,263783.562,-143682.0
389,312197.0,262415.082,-36181.0
390,312197.0,257265.246,-150129.0
391,312197.0,268582.812,-7652.0
392,308186.0,261855.87,-137635.0
393,307382.0,256181.454,-150821.0
394,307382.0,261629.734,-24429.0
395,307382.0,259259.014,-147997.0
396,307382.0,266091.37,-25503.0
397,307382.0,271669.328,-27961.0
398,307382.0,270335.618,-150578.0
399,307382.0,279661.18,-145572.0
400,307382.0,282317.006,-33010.0
401,307382.0,286926.444,-34546.0
402,307382.0,288579.102,-33010.0
403,307382.0,291383.382,-100000.0
404,307382.0,282722.6,-145466.0
405,307382.0,288053.414,-4759.0
406,307382.0,284281.792,-33229.0
407,307382.0,282559.452,-145873.0
408,307382.0,286719.146,-45253.0
409,307382.0,280964.906,-41605.0
410,307382.0,285455.038,-33092.0
411,307382.0,281264.188,-134619.0
412,307382.0,284863.966,-24885.0
413,307382.0,291720.176,-145435.0
414,307382.0,292437.306,-32419.0
415,307014.0,288584.366,-142225.0
416,307014.0,291347.392,-145099.0
417,307014.0,289895.482,-145435.0
418,307014.0,295337.616,0.0
419,307014.0,295920.432,0.0
420,307014.0,289915.584,-145873.0
