average,best,generation
-101183529.383,0.0,1
-20502664.235,0.0,2
-130906.785,0.0,3
-120080.26,0.0,4
-110080.26,0.0,5
-120080.26,0.0,6
-110080.26,0.0,7
-110080.26,0.0,8
-110080.26,0.0,9
-110080.26,0.0,10
-110080.26,0.0,11
-110080.26,0.0,12
-110080.26,0.0,13
-110080.26,0.0,14
-110080.26,0.0,15
-110080.26,0.0,16
-110080.26,0.0,17
-110080.26,0.0,18
-110080.26,0.0,19
-110080.26,0.0,20
-110080.26,0.0,21
-110080.26,0.0,22
-110080.26,0.0,23
-110080.26,0.0,24
-110080.26,0.0,25
-110080.26,0.0,26
-110080.26,0.0,27
-110080.26,0.0,28
-110080.26,0.0,29
-110080.26,0.0,30
-110080.26,0.0,31
-110080.26,0.0,32
-110080.26,0.0,33
-110080.26,0.0,34
-110080.26,0.0,35
-110080.26,0.0,36
-110080.26,0.0,37
-110080.26,0.0,38
-110080.26,0.0,39
-110080.26,0.0,40
-110080.26,0.0,41
-110080.26,0.0,42
-110080.26,0.0,43
-110080.26,0.0,44
-110080.26,0.0,45
-110080.26,0.0,46
-110080.26,0.0,47
-110080.26,0.0,48
-110080.26,0.0,49
-110080.26,0.0,50
-110080.26,0.0,51
-110080.26,0.0,52
-110080.26,0.0,53
-110080.26,0.0,54
-110080.26,0.0,55
-110080.26,0.0,56
-110080.26,0.0,57
-110080.26,0.0,58
-110080.26,0.0,59
-110080.26,0.0,60
-110080.26,0.0,61
-110080.26,0.0,62
-110080.26,0.0,63
-110080.26,0.0,64
-110080.26,0.0,65
-110080.26,0.0,66
-110080.26,0.0,67
-110080.26,0.0,68
-110080.26,0.0,69
-110080.26,0.0,70
-110080.26,0.0,71
-110080.26,0.0,72
-110080.26,0.0,73
-110080.26,0.0,74
-110080.26,0.0,75
-110080.26,0.0,76
-110080.26,0.0,77
-110080.26,0.0,78
-110080.26,0.0,79
-110080.26,0.0,80
-110080.26,0.0,81
-110080.26,0.0,82
-110080.26,0.0,83
-110080.26,0.0,84
-110080.26,0.0,85
-110080.26,0.0,86
-110080.26,0.0,87
-110080.26,0.0,88
-110080.26,0.0,89
-110080.26,0.0,90
-110080.26,0.0,91
-110080.26,0.0,92
-110080.26,0.0,93
-110080.26,0.0,94
-110080.26,0.0,95
-110080.26,0.0,96
-110080.26,0.0,97
-110080.26,0.0,98
-110080.26,0.0,99
-110080.26,0.0,100
